Sentence,Length
im gonna say no sorry i would but as normal am starting to panic about time sorry again are you seeing on tuesday,113
wait do you know if wesleys in town i bet she does hella drugs,62
fine i miss you very much,25
did u got that persons story,28
tell them the drug dealers getting impatient,44
sun cant come to earth but send luv as rays cloud cant come to river but send luv as rain i cant come to meet u but can send my care as msg to u gud evng,153
you will be in the place of that man,36
it doesnt make sense to take it there unless its free if you need to know more wikipediacom,91
under the sea there lays a rock in the rock there is an envelope in the envelope there is a paper on the paper there are  words ,128
then mums repent how,20
sorry me going home first daddy come fetch м later,50
leave it de start prepare for next,34
yes baby we can study all the positions of the kama sutra ,58
en chikku nange bakra msg kalstiyathen had teacoffee,52
carlosll be here in a minute if you still need to buy,53
this pay is  ltdecimalgt  lakhs,31
have a good evening ttyl,24
did u receive my msg,20
ho ho  big belly laugh see ya tomo,34
ditto and you wont have to worry about me saying anything to you anymore like i said last night you do whatever you want and ill do the same peace,146
ive got  ltgt  any way i could pick up,38
i dont knw pa i just drink milk,31
maybe say hi to  and find out if  got his card great escape or wetherspoons ,76
piggy r u awake i bet ure still sleeping im going  lunch now,60
cause im not freaky lol,23
missed your call cause i was yelling at scrappy miss u cant wait for u to come home im so lonely today,102
what is this hex place you talk of explain,42
мп log off  wat its sdrybi,26
is xy going  e lunch,20
i wanted to ask м to wait  me to finish lect cos my lect finishes in an hour anyway,83
have you finished work yet ,27
every king was once a crying baby and every great building was once a map not imprtant where u r today but where u wil reach tomorw gud ni,138
dearme at cherthalain case u r coming cochin pls call bfore u starti shall also reach accordinglyor tell me which day u r comingtmorow i am engaged ans its holiday,163
thanks love but am i doing torch or bold,40
was the farm open,17
sorry to trouble u again can buy d for my dad again    all  big  small sat n sun thanx,86
my sister in law hope you are having a great month just saying hey abiola,73
will purchase d stuff today and mail to you do you have a po box number,71
ah poop looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,91
good good job i like entrepreneurs,34
aight you close by or still down around alexs place,51
meet you in corporation st outside gap ы you can see how my mind is working,75
mum ask м to buy food home,26
ku also dont msg or reply to his msg,36
how much r м willing to pay,27
sorry ill call later,20
what is important is that you prevent dehydration by giving her enough fluids,77
thats a bit weird even  where is the do supposed to be happening but good idea sure they will be in pub,103
true deari sat to pray evening and felt soso i smsd you in some time,68
i dont think i can get away for a trek that long with family in town sorry,74
so when do you wanna gym harri,30
quite late lar ard  anyway i wun b drivin,41
height of confidence all the aeronautics professors wer calld amp they wer askd  sit in an aeroplane aftr they sat they wer told dat the plane ws made by their students dey all hurried out of d plane bt only  didnt move he saidif it is made by my students,255
it just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,195
save yourself the stress if the person has a dorm account just send your account details and the money will be sent to you,122
he also knows about lunch menu only da  i know,46
when i have stuff to sell ill tell you,38
book which lesson then you msg me i will call up after work or sth im going to get specs my membership is px,108
macha dont feel upseti can assume your mindsetbelieve me one evening with me and i have some wonderful plans for both of uslet life begin againcall me anytime,158
oh is it send me the address,28
sfine anytime all the best with it,34
that is wondar full flim,24
ya even those cookies have jelly on them,40
the world is running and i am stillmaybe all are feeling the sameso be itor i have to admiti am madthen where is the correctionor let me call this is lifeand keep running with the worldmay be u r also runninglets run,216
got it it looks scrumptious daddy wants to eat you all night long,65
of cos can lar im not so ba dao ok  pm lor y u never ask where we go ah i said u would ask on fri but he said u will ask today,126
alright omw gotta change my order to a halfth,45
exactly anyways how far is jide her to study or just visiting,61
dunno y u ask me,16
no he didnt spring is coming early yay,38
